yr.si,Year,Site,Initial dominance,Transect,Acropora,Isopora,Montipora,Pocillopora,Seriatopora,Stylophora,Porites - branching,Porites - massive,Goniopora,Favia (plocoid),Favites (ceriod),Goniastrea,Echinopora,Galaxea,Encrust,Turbinaria,Hydonophora,Lobophyllia,Symphyllia,Millepora,Coral,Palythoa,Sinularia,Sarcophyton,Sargassaceae,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Macroalgae,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
15.TNF,2015,Turtle North - Front,Sargassum,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,16,8,0,0,0,4,0,0,0,0,0,0,0,0,0,4,10,12,0,0,0,0,22,80,6,0,12,0,0,0,0,0,0,0,0
15.TNF,2015,Turtle North - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,6,0,0,0,0,6,82,4,0,14,0,0,0,0,0,0,0,0
15.TNF,2015,Turtle North - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,14,76,6,0,16,0,0,0,0,0,0,0,0
16.TNF,2016,Turtle North - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,9,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,87,3,0,7,3,0,0,0,0,0,0,0
16.TNF,2016,Turtle North - Front,Sargassum,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,67,0,0,14,18,0,0,0,0,0,0,0
16.TNF,2016,Turtle North - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,7,18,0,0,0,0,0,0,0
16.TNF,2016,Turtle North - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,81,0,0,6,13,0,0,0,0,0,0,0
17.TNF,2017,Turtle North - Front,Sargassum,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,0,0,2,8,0,0,4,0,0,0,0,2,8,0,0,0,0,0,10,0,0,0,0,0,0,80,10,2,6,0,0,0,0,0,0,0,0
17.TNF,2017,Turtle North - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,4,8,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,94,4,0,0,2,0,0,0,0,0,0,0
17.TNF,2017,Turtle North - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,6,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,78,6,4,8,4,0,0,0,0,0,0,0
17.TNF,2017,Turtle North - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,2,4,8,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,8,0,0,0,2,88,2,6,2,2,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,Sargassum,1,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,62,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,7,4,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,Sargassum,2,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,48,0,0,17,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,74,0,0,7,3,0,0,0,0,0,2,0
13.TSCh,2013,Turtle South - Channel,Sargassum,3,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,49,0,0,15,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,82,1,0,4,7,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,Sargassum,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,80,12,0,7,0,0,0,0,0,0,0,0
14.TSCh,2014,Turtle South - Channel,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,0,0,29.03225806,6.451612903,0,3.225806452,0,3.225806452,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,61.29032258,0,6.451612903,25.80645161,6.451612903,0,0,0,0,0,0,0
14.TSCh,2014,Turtle South - Channel,Sargassum,2,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,19.35483871,0,0,29.03225806,12.90322581,0,6.451612903,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.19354839,0,0,22.58064516,0,0,0,0,0,0,0,0
14.TSCh,2014,Turtle South - Channel,Sargassum,3,0,0,9.677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.677419355,0,0,0,3.225806452,0,0,38.70967742,19.35483871,0,3.225806452,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,67.74193549,3.225806452,6.451612903,12.90322581,0,0,0,0,0,0,0,0
14.TSCh,2014,Turtle South - Channel,Sargassum,4,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,16.12903226,0,0,22.58064516,19.35483871,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,67.74193549,0,0,29.03225806,0,0,0,0,0,0,0,0
15.TSCh,2015,Turtle South - Channel,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,8,82,6,0,10,0,2,0,0,0,0,0,0
15.TSCh,2015,Turtle South - Channel,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,0,2,0,0,0,0,0,0,10,0,40,0,0,0,0,18,84,0,0,8,0,8,0,0,0,0,0,0
15.TSCh,2015,Turtle South - Channel,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,64,0,0,2,0,8,98,0,0,0,0,2,0,0,0,0,0,0
15.TSCh,2015,Turtle South - Channel,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0,4,92,4,0,4,0,0,0,0,0,0,0,0
16.TSCh,2016,Turtle South - Channel,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,33,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,68,0,0,20,12,0,0,0,0,0,0,0
16.TSCh,2016,Turtle South - Channel,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,25,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,80,2,0,12,6,0,0,0,0,0,0,0
16.TSCh,2016,Turtle South - Channel,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,23,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,0,0,44,5,0,0,0,0,0,0,0
16.TSCh,2016,Turtle South - Channel,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,51,0,0,47,2,0,0,0,0,0,0,0
17.TSCh,2017,Turtle South - Channel,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,10,22,2,4,0,0,0,2,0,2,6,2,0,0,0,0,10,0,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
17.TSCh,2017,Turtle South - Channel,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,18,28,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
17.TSCh,2017,Turtle South - Channel,Sargassum,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,52,0,2,20,12,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,94,0,0,0,0,0,0,2,0,0,0,0
17.TSCh,2017,Turtle South - Channel,Sargassum,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,8,2,14,14,4,6,8,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0
